Category_MN,Category_EN,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Month13,Month14,Month15,Month16,Month17
Аймаг,Aimag,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
Баян-Өлгий,Bayan-Ulgii,5300,6000,6700,6800,6800,7000,7150,7150,,6000,6000,6500,6167,5900,6000,5750,5625
Говь-Алтай,Govi-Altai,12000,,,,,,,,,,,10000,,9250,9313,9813,10167
Завхан,Zavkhan,7000,6700,7400,6700,5250,3500,,,,5000,6500,7750,8625,7000,7250,8200,7625
Увс,Uvs,6400,5600,8500,6100,6700,,,,5500,5250,5600,5600,5667,6000,5750,6389,6500
Ховд,Khovd,7000,8900,9500,9800,7900,8200,7250,,,5000,4800,6000,9864,7150,5955,5400,5083
Архангай,Arkhangai,9200,9000,7300,7100,6500,8000,5000,,6000,6000,7500,7500,8500,10000,11167,11929,10667
Баянхонгор,Bayankhongor,9600,10600,10300,9900,10200,10400,,,,,11000,7000,9750,10900,10979,10823,11438
Булган,Bulgan,5300,5000,4600,3800,3800,2700,4000,,,6100,6200,6614,6250,7600,7943,9729,8594
Орхон,Orkhon,5000,5500,5000,4500,3000,,,,,5500,6000,6500,6500,6500,8500,9000,9000
Өвөрхангай,Uvurkhangai,9000,9200,9700,8600,9000,9200,10250,,,10500,10500,11000,11313,11000,11571,12500,11375
Говьсүмбэр,Govisumber,,7000,8000,7100,6100,7000,,,7500,,,,,9700,10333,9750,11500
Дархан-Уул,Darkhan-Uul,6500,6600,6600,6500,6500,6500,6500,,,,,,6540,10000,11000,7750,10000
Хөвсгөл,Khuvsgul,4700,4500,4500,4500,5000,4500,,,,3750,4000,4250,4750,4250,4750,4750,4750
Дорноговь,Dornogovi,6900,7200,7200,7100,6900,7600,7300,7250,7300,7500,7400,7530,7500,8700,8600,8686,8538
Дундговь,Dundgovi,7500,8800,10000,9000,10000,,,,,,,,,12750,12000,13500,14250
Өмнөговь,Umnugovi,10500,9000,10000,10000,10000,9750,10000,9750,9750,10200,10500,9500,8167,10000,7333,7625,8333
Сэлэнгэ,Selenge,4400,7200,3600,3000,3100,2250,4500,,,4000,4100,4600,4556,5900,5800,6200,7667
Төв,Tuv,6300,5800,5500,5400,5200,5700,6000,6400,5750,6300,6400,7300,8029,9500,9125,9583,8400
Дорнод,Dornod,3200,3600,3800,2700,4000,3000,3000,3000,,3500,3700,4000,,7000,4000,4500,4500
Сүхбаатар,Sukhbaatar,4200,,4300,5000,5000,,,5000,,4500,5250,5250,,6300,7667,7000,7250
Хэнтий,Khentii,5000,6500,5000,,5000,,,,,3900,,,,,,,6625
Улаанбаатар,Ulaanbaatar,,6400,7000,6500,6750,8000,,,,5500,6000,,8500,,,,
дундаж,Average,6750,6955,6881,6505,6319,6456,6450,6425,6967,5794,6556,6876,7542,8270,8252,8444,8471
хамгийн их,High,12000,10600,10300,10000,10200,10400,10250,9750,9750,10500,11000,11000,11313,12750,12000,13500,14250
хамгийн бага,Low,3200,3600,3600,2700,3000,2250,3000,3000,5500,3500,3700,4000,4556,4250,4000,4500,4500
